timestamp,velocidad,carga,vida_util,humedad,corriente,vibracion,defectos,produccion,energia
2026-06-05 11:48:50,1571.06,45.95,29.8,52.55,16.44,6.98,6,424,12.63
2026-06-05 11:49:50,1579.7,55.51,40.36,69.9,17.73,5.86,5,471,15.5
2026-06-05 11:50:50,1482.17,88.98,31.72,31.22,24.24,6.91,6,462,22.36
2026-06-05 11:51:50,1320.15,63.39,92.34,30.03,19.01,2.03,2,445,15.72
2026-06-05 11:52:50,1443.1,62.9,20.92,31.19,18.46,7.06,6,433,16.94
2026-06-05 11:53:50,1035.21,35.37,20.55,69.92,12.95,7.39,7,268,10.26
2026-06-05 11:54:50,1041.69,94.25,49.03,50.15,23.34,4.86,5,383,20.81
2026-06-05 11:55:50,1716.55,30.38,44.57,56.17,14.19,5.49,5,472,10.48
2026-06-05 11:56:50,1283.51,59.2,20.99,66.31,17.67,7.25,7,383,14.86
2026-06-05 11:57:50,1687.67,85.45,47.47,33.64,24.47,5.14,5,548,22.37
2026-06-05 11:58:50,1152.91,93.68,45.76,59.38,24.24,5.67,5,407,22.37
2026-06-05 11:59:50,1743.17,75.65,88.65,56.47,22.88,1.55,1,606,18.83
2026-06-05 12:00:50,1297.86,65.93,74.08,37.01,19.5,2.81,2,442,16.71
2026-06-05 12:01:50,1631.97,40.74,58.54,65.19,15.22,4.48,5,469,12.32
2026-06-05 12:02:50,1309.24,82.96,34.23,69.62,21.89,6.62,5,442,19.6
2026-06-05 12:03:50,1512.61,89.23,92.57,47.9,23.67,1.89,3,538,20.44
2026-06-05 12:04:50,1291.84,80.6,51.17,42.16,22.16,4.78,4,430,20.28
2026-06-05 12:05:50,1042.46,88.6,85.24,57.42,22.7,2.65,2,391,21.02
2026-06-05 12:06:50,932.96,33.37,45.16,31.3,12.34,5.47,5,242,9.39
2026-06-05 12:07:50,933.5,95.87,45.41,60.76,23.09,5.79,5,363,21.33
2026-06-05 12:08:50,1027.67,64.72,25.78,32.27,18.2,6.75,6,309,16.42
2026-06-05 12:09:50,1381.23,91.67,96.29,39.23,23.4,1.58,1,495,22.01
2026-06-05 12:10:50,1275.18,48.19,21.84,68.59,16.01,7.07,6,354,13.59
2026-06-05 12:11:50,1619.88,42.75,60.43,44.7,16.74,4.47,3,487,14.42
2026-06-05 12:12:50,1511.8,98.7,46.19,36.88,26.51,5.23,4,512,23.45
2026-06-05 12:13:50,1738.32,38.97,63.57,51.92,15.94,3.58,4,512,13.42
2026-06-05 12:14:50,1084.56,88.82,80.57,68.98,21.48,2.16,2,420,19.31
2026-06-05 12:15:50,1060.74,40.38,84.96,55.71,14.34,2.51,3,343,11.84
2026-06-05 12:16:50,1258.98,47.32,51.04,30.86,16.08,4.7,5,354,12.48
2026-06-05 12:17:50,1247.66,44.51,30.8,60.77,14.51,6.19,6,330,13.26
2026-06-05 12:18:50,1643.17,74.13,62.47,69.8,22.05,3.76,3,520,19.81
2026-06-05 12:19:50,1113.02,67.69,59.94,49.25,18.41,4.62,4,370,17.01
2026-06-05 12:20:50,1774.1,90.42,88.03,39.68,24.51,1.93,3,611,21.5
2026-06-05 12:21:50,1170.17,99.7,94.9,30.08,25.31,1.4,2,440,22.96
2026-06-05 12:22:50,1139.56,79.03,46.63,34.85,20.24,5.12,4,375,18.23
2026-06-05 12:23:50,1308.09,76.29,94.0,38.64,21.65,1.13,2,458,19.77
2026-06-05 12:24:50,1097.94,35.2,79.52,69.69,13.71,2.43,3,334,10.49
2026-06-05 12:25:50,956.83,75.3,88.54,33.87,18.75,2.38,3,336,17.37
2026-06-05 12:26:50,1749.45,99.89,91.89,42.88,27.21,1.22,1,633,23.39
2026-06-05 12:27:50,1264.15,57.37,90.03,65.67,17.35,2.13,2,414,14.34
2026-06-05 12:28:50,1486.9,56.53,68.91,32.56,17.7,3.71,3,478,14.4
2026-06-05 12:29:50,1152.25,35.93,68.07,67.24,12.66,3.99,5,323,10.43
2026-06-05 12:30:50,1652.15,66.8,77.95,64.78,20.29,3.26,2,537,16.76
2026-06-05 12:31:50,1508.75,81.14,70.57,64.43,22.59,3.49,4,514,20.98
2026-06-05 12:32:50,1223.85,40.72,69.8,47.76,13.3,3.86,4,370,11.7
2026-06-05 12:33:50,1462.3,52.4,39.39,45.45,16.93,6.06,5,422,14.66
2026-06-05 12:34:50,1363.62,98.94,56.05,55.94,25.99,4.44,3,487,23.8
2026-06-05 12:35:50,1087.11,83.04,36.44,58.62,21.15,5.65,5,387,20.33
2026-06-05 12:36:50,1401.05,69.98,29.18,53.22,20.74,6.89,6,430,18.35
2026-06-05 12:37:50,1750.28,92.08,83.56,37.1,26.2,2.43,2,589,23.72
2026-06-05 12:38:50,1694.76,49.4,78.83,63.78,17.06,2.84,3,496,13.39
2026-06-05 12:39:50,1055.99,49.05,83.33,56.19,15.2,2.21,1,361,13.92
2026-06-05 12:40:50,1480.67,95.76,56.25,58.92,25.69,4.35,5,502,23.21
2026-06-05 12:41:50,1379.93,69.09,48.8,52.39,19.15,4.85,5,437,16.74
2026-06-05 12:42:50,1183.21,56.05,70.61,56.43,16.44,3.39,3,391,14.03
2026-06-05 12:43:50,1496.54,47.86,93.5,59.09,16.44,1.14,1,494,12.77
2026-06-05 12:44:50,1696.51,79.84,51.97,52.88,22.19,4.82,4,565,19.6
2026-06-05 12:45:50,938.64,91.54,26.63,51.8,21.25,6.66,6,350,19.83
2026-06-05 12:46:50,1437.35,57.37,32.4,34.29,18.83,6.13,5,412,15.26
2026-06-05 12:47:50,1267.18,96.04,91.47,56.14,24.53,2.15,3,451,23.27
2026-06-05 12:48:50,1198.52,93.8,71.51,51.04,23.12,3.18,3,433,21.51
2026-06-05 12:49:50,1289.1,62.55,86.8,38.71,19.09,1.75,2,444,16.1
2026-06-05 12:50:50,1579.77,65.07,58.27,59.46,20.26,4.64,4,478,17.53
2026-06-05 12:51:50,1091.96,85.48,59.82,60.51,21.39,4.42,5,370,19.73
2026-06-05 12:52:50,938.79,49.27,96.62,40.27,15.4,1.63,3,314,12.26
2026-06-05 12:53:50,1526.19,78.23,72.32,31.67,22.23,3.05,2,500,20.12
2026-06-05 12:54:50,926.03,39.44,76.74,64.18,11.91,2.8,4,281,10.29
2026-06-05 12:55:50,1562.74,74.37,62.18,41.45,20.65,4.16,3,524,18.22
2026-06-05 12:56:50,1149.25,43.3,79.3,51.09,14.82,2.31,2,350,11.97
2026-06-05 12:57:50,957.94,41.66,34.19,60.91,14.1,6.38,7,238,10.98
2026-06-05 12:58:50,1724.4,69.32,55.05,61.28,21.36,4.18,3,566,17.54
2026-06-05 12:59:50,1269.17,92.88,52.96,40.5,24.57,4.84,4,433,22.65
2026-06-05 13:00:50,990.46,77.0,95.79,36.06,19.41,0.95,1,388,18.01
2026-06-05 13:01:50,1363.21,55.99,62.26,52.47,18.15,3.59,4,403,15.56
2026-06-05 13:02:50,1053.0,37.03,61.68,57.51,13.62,3.76,4,288,11.62
2026-06-05 13:03:50,957.72,57.52,23.98,35.16,16.93,6.9,5,284,15.7
2026-06-05 13:04:50,1395.79,60.43,36.64,65.38,18.8,6.09,5,404,16.33
2026-06-05 13:05:50,1693.82,91.66,62.29,52.16,24.9,4.15,3,568,22.55
2026-06-05 13:06:50,1741.32,60.3,88.27,45.28,20.39,2.29,3,548,17.59
2026-06-05 13:07:50,1583.89,45.95,36.42,48.81,16.78,6.41,6,435,14.62
2026-06-05 13:08:50,1612.66,54.86,47.54,69.26,18.15,5.52,5,492,16.14
2026-06-05 13:09:50,993.22,64.3,79.67,50.41,17.44,3.05,2,365,15.86
2026-06-05 13:10:50,1244.51,90.85,79.25,57.54,22.8,2.37,2,447,20.45
2026-06-05 13:11:50,925.13,37.51,54.74,66.57,12.89,4.37,4,275,10.07
2026-06-05 13:12:50,1549.42,41.33,58.61,33.96,15.25,4.23,4,444,12.98
2026-06-05 13:13:50,1643.31,93.21,33.13,37.13,25.55,5.97,6,534,22.98
2026-06-05 13:14:50,1365.22,56.9,63.26,34.47,17.07,4.14,4,436,15.14
2026-06-05 13:15:50,1020.6,48.88,53.96,64.1,15.31,4.49,4,298,13.48
2026-06-05 13:16:50,1489.83,64.09,66.78,65.35,19.99,3.72,4,471,17.39
2026-06-05 13:17:50,1008.4,89.94,54.06,46.29,22.2,4.77,4,355,20.48
2026-06-05 13:18:50,1311.5,58.15,48.13,37.88,18.61,5.47,4,409,15.05
2026-06-05 13:19:50,914.88,74.52,35.25,65.59,19.12,6.24,5,304,17.55
2026-06-05 13:20:50,1766.39,45.59,56.24,65.43,17.79,4.3,4,498,14.08
2026-06-05 13:21:50,1184.58,69.32,76.27,62.33,20.1,2.68,2,392,17.14
2026-06-05 13:22:50,1040.76,86.89,95.05,39.76,21.88,1.55,3,411,19.81
2026-06-05 13:23:50,1285.86,74.89,21.19,46.51,20.45,7.05,6,418,18.45
2026-06-05 13:24:50,1626.63,97.86,74.32,61.12,26.8,3.4,3,587,24.85
2026-06-05 13:25:50,989.71,89.07,49.94,44.59,21.77,5.48,4,381,19.59
2026-06-05 13:26:50,1737.62,71.93,65.1,51.1,21.11,3.42,3,545,19.37
2026-06-05 13:27:50,1651.66,66.56,93.91,48.49,20.98,1.91,2,545,17.95
2026-06-05 13:28:50,1715.23,94.1,22.02,58.4,26.57,7.47,6,547,24.39
2026-06-05 13:29:50,1035.71,73.36,99.9,47.23,19.85,1.37,1,369,18.75
2026-06-05 13:30:50,1278.96,99.36,35.94,45.95,25.12,5.75,4,461,23.25
2026-06-05 13:31:50,1626.56,74.81,32.93,52.1,21.37,6.01,6,510,19.21
2026-06-05 13:32:50,1499.52,82.71,96.31,39.61,22.16,1.75,1,526,19.32
2026-06-05 13:33:50,958.23,66.27,21.99,67.81,17.19,7.4,6,294,15.5
2026-06-05 13:34:50,916.59,92.11,54.46,56.94,22.03,4.51,5,347,19.74
2026-06-05 13:35:50,1625.22,36.18,38.78,37.09,15.13,5.41,5,468,12.13
2026-06-05 13:36:50,991.81,53.59,78.77,45.03,15.34,2.68,2,348,14.43
2026-06-05 13:37:50,1024.17,37.39,93.65,51.19,13.15,1.72,2,331,10.73
2026-06-05 13:38:50,1596.07,99.98,54.33,42.84,26.76,4.46,4,536,23.44
2026-06-05 13:39:50,1711.22,63.22,94.03,39.29,20.55,1.29,2,541,16.93
2026-06-05 13:40:50,1161.99,92.78,96.9,46.15,24.02,1.18,1,443,21.65
2026-06-05 13:41:50,934.74,36.48,38.67,52.11,12.98,5.87,6,263,10.23
2026-06-05 13:42:50,1780.81,45.58,26.41,38.19,16.98,6.78,7,497,13.48
2026-06-05 13:43:50,1311.47,96.52,92.32,55.87,24.15,1.51,2,506,21.59
2026-06-05 13:44:50,1784.99,76.3,67.4,42.74,22.44,3.23,3,568,19.38
2026-06-05 13:45:50,1716.99,82.37,56.15,60.99,23.54,4.04,4,559,21.3
2026-06-05 13:46:50,1227.15,32.04,61.06,53.67,13.56,4.09,5,353,11.58
2026-06-05 13:47:50,1683.87,58.5,64.6,51.18,19.14,3.97,4,500,16.01
2026-06-05 13:48:50,1341.35,81.92,93.89,55.55,21.36,1.83,2,490,18.49
2026-06-05 13:49:50,1531.45,71.92,87.65,66.27,20.62,2.07,2,531,18.34
2026-06-05 13:50:50,1266.36,68.31,75.65,67.1,18.47,2.72,2,448,16.08
2026-06-05 13:51:50,1236.34,83.75,31.51,36.42,22.79,6.03,6,388,20.08
2026-06-05 13:52:50,1069.95,32.22,76.94,51.94,11.43,2.53,2,321,9.28
2026-06-05 13:53:50,1466.92,58.41,81.35,32.44,17.84,2.55,2,488,15.72
2026-06-05 13:54:50,1204.01,34.07,57.54,33.0,12.24,4.65,4,339,10.57
2026-06-05 13:55:50,1307.65,30.3,88.6,65.77,13.68,1.6,3,391,11.01
2026-06-05 13:56:50,1440.36,94.41,20.44,55.13,23.84,7.27,7,478,22.39
2026-06-05 13:57:50,1042.78,38.0,36.2,43.65,12.43,6.59,6,299,10.63
2026-06-05 13:58:50,1125.33,47.51,29.88,42.48,15.44,6.16,5,323,12.4
2026-06-05 13:59:50,1311.99,63.99,88.05,56.48,18.61,1.57,1,445,16.69
2026-06-05 14:00:50,1194.33,93.51,57.56,32.65,22.88,4.09,5,406,21.96
2026-06-05 14:01:50,1357.88,45.56,56.1,57.4,16.47,4.65,4,388,12.63
2026-06-05 14:02:50,1454.22,78.08,22.72,54.45,21.05,7.53,7,449,18.2
2026-06-05 14:03:50,1089.52,61.37,98.14,47.95,18.27,1.54,2,364,15.43
2026-06-05 14:04:50,1172.22,46.86,53.98,32.61,15.27,4.51,4,345,13.59
2026-06-05 14:05:50,1116.97,51.21,96.16,33.54,15.29,1.8,2,383,13.76
2026-06-05 14:06:50,1102.67,38.71,86.4,69.06,13.76,1.64,1,344,12.17
2026-06-05 14:07:50,1785.48,36.16,27.52,67.28,14.96,6.62,5,507,12.12
2026-06-05 14:08:50,1098.0,80.86,93.05,64.47,20.76,1.49,2,401,18.4
2026-06-05 14:09:50,1130.02,43.38,87.61,50.37,15.05,1.94,1,369,12.13
2026-06-05 14:10:50,1106.16,30.26,96.71,64.77,11.26,1.39,1,353,8.35
2026-06-05 14:11:50,1293.86,37.59,85.72,35.58,13.13,2.54,2,409,11.05
2026-06-05 14:12:50,1758.86,56.88,45.24,47.81,19.97,5.11,4,528,15.68
2026-06-05 14:13:50,1686.28,91.23,65.92,41.02,24.31,3.42,2,588,22.7
2026-06-05 14:14:50,1616.8,67.92,39.17,65.5,21.33,5.7,5,495,17.92
2026-06-05 14:15:50,1482.22,56.66,93.61,67.63,17.94,1.71,3,475,15.5
2026-06-05 14:16:50,1522.88,72.71,21.7,57.37,21.5,7.27,6,455,18.62
2026-06-05 14:17:50,1284.32,55.8,55.69,69.59,17.7,5.03,4,384,15.32
2026-06-05 14:18:50,994.23,55.55,24.21,43.98,16.09,7.26,7,266,13.18
2026-06-05 14:19:50,1776.79,45.82,30.98,42.25,16.82,6.99,6,482,12.94
2026-06-05 14:20:50,1339.35,83.01,42.13,51.45,23.15,6.12,5,423,20.94
2026-06-05 14:21:50,1798.81,69.51,44.97,52.78,22.0,5.65,6,549,19.54
2026-06-05 14:22:50,1220.41,46.59,66.88,59.68,15.59,4.01,3,374,13.45
2026-06-05 14:23:50,1679.41,94.55,83.02,68.14,26.62,1.91,2,588,24.0
2026-06-05 14:24:50,1257.98,68.13,59.76,48.16,19.08,3.88,4,414,17.37
2026-06-05 14:25:50,1681.52,38.72,44.48,36.14,15.26,5.32,5,486,12.75
2026-06-05 14:26:50,1154.99,99.76,87.49,51.03,24.33,2.14,3,435,23.04
2026-06-05 14:27:50,1159.96,84.99,67.79,31.19,21.52,3.24,4,418,20.67
2026-06-05 14:28:50,1446.14,85.8,36.21,34.55,22.89,6.08,6,453,20.36
2026-06-05 14:29:50,902.22,74.04,74.59,54.59,19.2,3.2,3,318,17.03
2026-06-05 14:30:50,923.95,96.67,54.96,43.96,22.93,4.17,3,382,21.78
2026-06-05 14:31:50,957.5,59.25,94.64,62.38,16.12,1.81,1,339,14.47
2026-06-05 14:32:50,965.7,74.07,44.62,58.78,19.58,5.72,5,312,17.83
2026-06-05 14:33:50,928.52,75.02,23.7,55.62,18.51,6.82,7,290,16.17
2026-06-05 14:34:50,1046.51,72.33,34.56,60.13,20.19,5.86,5,331,17.89
2026-06-05 14:35:50,1415.61,92.6,57.73,37.3,24.43,4.13,3,515,21.31
2026-06-05 14:36:50,1065.64,70.32,43.32,52.01,18.14,5.12,5,346,17.42
2026-06-05 14:37:50,1639.51,98.1,23.96,31.47,26.78,7.22,7,540,23.48
2026-06-05 14:38:50,1762.18,80.06,82.61,40.7,22.64,2.42,2,593,20.26
2026-06-05 14:39:50,1563.36,48.85,92.68,58.54,16.13,1.99,3,463,13.91
2026-06-05 14:40:50,1620.95,37.24,39.93,50.69,14.91,5.53,5,468,12.05
2026-06-05 14:41:50,1093.19,75.42,55.84,60.36,20.48,4.93,5,375,18.9
2026-06-05 14:42:50,1423.58,57.18,27.19,40.96,17.78,7.25,7,396,15.72
2026-06-05 14:43:50,1563.72,90.54,35.35,36.16,24.34,6.46,6,490,20.93
2026-06-05 14:44:50,1451.91,65.33,87.22,51.56,18.73,1.95,2,469,15.83
2026-06-05 14:45:50,1113.34,71.82,66.1,42.78,18.64,4.04,3,402,16.84
2026-06-05 14:46:50,1552.33,64.99,22.96,47.89,20.17,6.97,6,478,16.53
2026-06-05 14:47:50,1623.27,69.23,94.35,45.96,21.68,1.67,2,555,18.99
2026-06-05 14:48:50,1107.6,97.06,80.88,30.12,24.3,2.44,2,448,23.03
2026-06-05 14:49:50,1422.98,40.64,46.74,68.99,14.38,5.15,5,422,11.83
2026-06-05 14:50:50,1732.7,78.23,42.13,49.24,23.46,5.96,5,554,21.01
2026-06-05 14:51:50,1344.25,87.79,44.75,60.56,23.17,5.91,6,455,20.5
2026-06-05 14:52:50,1358.91,80.21,61.86,30.09,21.56,3.61,3,455,20.32
2026-06-05 14:53:50,1539.49,34.02,86.79,40.2,15.15,2.32,3,456,10.88
2026-06-05 14:54:50,1556.57,48.42,61.37,47.84,17.66,4.1,4,479,14.12
2026-06-05 14:55:50,1792.61,96.39,57.59,56.19,27.46,4.11,4,589,23.72
2026-06-05 14:56:50,1415.74,46.02,35.96,44.87,16.46,6.47,5,404,12.85
2026-06-05 14:57:50,1275.1,68.0,42.03,52.21,18.46,5.39,5,419,17.27
2026-06-05 14:58:50,1587.71,62.17,32.02,60.02,20.51,6.68,6,451,16.73
2026-06-05 14:59:50,1566.89,48.37,48.89,68.61,16.78,5.21,5,467,14.7
2026-06-05 15:00:50,1024.42,42.09,60.12,58.43,14.61,4.65,5,301,13.11
2026-06-05 15:01:50,1074.57,56.42,42.5,50.68,15.94,5.22,6,332,14.25
2026-06-05 15:02:50,1640.11,89.34,84.47,51.79,24.55,2.17,3,560,22.22
2026-06-05 15:03:50,1230.45,97.13,39.81,37.35,25.11,5.73,4,440,22.43
2026-06-05 15:04:50,1373.51,44.14,98.49,49.04,16.18,1.16,1,427,12.57
2026-06-05 15:05:50,1686.84,74.86,44.52,50.95,22.36,5.88,6,538,19.69
2026-06-05 15:06:50,1576.3,68.93,58.43,40.09,19.97,4.57,3,504,18.09
2026-06-05 15:07:50,952.36,79.0,52.2,46.1,19.11,4.82,3,356,18.43
2026-06-05 15:08:50,1738.82,88.65,77.65,64.19,24.0,2.3,3,577,21.63
2026-06-05 15:09:50,1606.07,31.59,63.98,40.57,15.07,3.83,3,462,11.04
2026-06-05 15:10:50,1749.92,80.36,48.01,55.1,23.24,5.19,4,556,19.66
2026-06-05 15:11:50,1417.18,87.87,23.17,30.49,24.46,6.73,5,463,22.12
2026-06-05 15:12:50,1706.31,43.81,92.06,38.98,17.54,1.61,3,527,14.71
2026-06-05 15:13:50,928.08,62.93,29.73,43.81,17.41,6.66,6,294,15.87
2026-06-05 15:14:50,1267.87,76.45,57.49,33.52,20.44,4.23,3,448,17.99
2026-06-05 15:15:50,1745.25,92.58,76.83,55.05,25.22,3.08,3,579,22.99
2026-06-05 15:16:50,1144.6,47.58,70.57,63.77,14.38,2.91,2,355,13.09
2026-06-05 15:17:50,1225.1,44.68,28.1,32.72,14.94,6.95,7,351,12.25
2026-06-05 15:18:50,1565.69,65.82,45.29,45.68,20.6,4.96,4,474,17.83
2026-06-05 15:19:50,1642.72,85.06,71.06,53.97,23.98,2.89,3,545,21.52
2026-06-05 15:20:50,943.72,80.99,34.52,68.03,21.17,6.35,5,311,19.03
2026-06-05 15:21:50,1571.1,50.6,85.71,46.13,17.75,2.29,3,474,14.42
2026-06-05 15:22:50,1436.46,55.39,81.99,58.62,18.59,2.62,2,476,15.63
2026-06-05 15:23:50,1613.57,99.96,67.78,50.4,27.07,3.57,3,577,25.07
2026-06-05 15:24:50,921.12,62.44,70.73,42.12,16.03,3.22,3,332,15.56
2026-06-05 15:25:50,1608.93,92.93,47.19,61.76,25.84,5.14,5,540,22.2
2026-06-05 15:26:50,1629.57,42.64,48.21,62.5,16.17,5.05,5,475,13.57
2026-06-05 15:27:50,1775.65,50.18,49.18,62.27,18.89,5.5,5,524,14.69
2026-06-05 15:28:50,1362.77,74.7,92.98,40.83,20.9,1.94,3,474,19.4
2026-06-05 15:29:50,1737.63,67.14,88.18,35.9,21.74,1.88,2,559,18.77
2026-06-05 15:30:50,1790.99,40.12,20.43,56.81,15.5,7.25,6,490,11.77
2026-06-05 15:31:50,1254.54,45.17,99.03,50.3,14.56,0.87,1,402,11.67
2026-06-05 15:32:50,975.54,70.46,62.48,49.79,18.72,4.11,4,320,17.58
2026-06-05 15:33:50,1150.19,91.37,35.89,41.91,22.91,5.7,5,396,21.96
2026-06-05 15:34:50,1157.02,44.13,34.4,43.0,14.15,6.32,6,336,11.51
2026-06-05 15:35:50,1711.48,73.16,63.94,36.08,21.87,3.5,3,571,18.86
2026-06-05 15:36:50,1231.94,41.32,70.22,59.07,13.56,3.62,3,363,11.57
2026-06-05 15:37:50,1716.18,44.04,31.74,57.93,17.0,6.23,5,484,13.24
2026-06-05 15:38:50,1746.42,99.17,75.06,69.62,27.11,2.71,3,602,25.09
2026-06-05 15:39:50,1051.75,40.66,87.73,64.71,13.59,1.76,3,315,11.54
2026-06-05 15:40:50,905.71,53.13,33.16,63.23,14.79,6.79,5,271,13.63
2026-06-05 15:41:50,1398.35,63.91,71.72,63.06,18.27,2.98,4,453,16.69
2026-06-05 15:42:50,923.58,34.75,51.73,58.71,10.98,5.01,4,248,10.13
2026-06-05 15:43:50,1128.36,66.76,78.72,34.76,19.32,3.02,3,395,16.94
2026-06-05 15:44:50,1608.31,85.18,45.13,56.55,23.98,5.35,4,540,20.6
2026-06-05 15:45:50,1776.13,64.14,76.46,37.68,20.46,2.68,3,575,17.24
2026-06-05 15:46:50,1516.5,42.0,23.29,33.27,14.99,6.76,5,432,12.09
2026-06-05 15:47:50,1245.36,82.73,91.36,30.02,22.56,1.88,3,443,20.68
2026-06-05 15:48:50,1225.79,39.03,64.34,44.94,13.92,3.48,4,358,11.51
2026-06-05 15:49:50,1279.98,88.48,87.35,30.36,23.56,2.17,3,471,21.69
2026-06-05 15:50:50,1024.01,56.61,22.32,37.04,17.21,7.71,7,288,14.99
2026-06-05 15:51:50,1384.12,49.07,36.44,55.9,15.5,6.46,6,378,12.67
2026-06-05 15:52:50,1732.12,92.32,67.49,44.63,24.85,3.11,2,596,23.03
2026-06-05 15:53:50,1466.46,48.12,34.17,62.99,17.4,6.74,6,398,14.38
2026-06-05 15:54:50,1718.09,32.77,48.2,44.62,14.91,5.28,5,474,11.82
2026-06-05 15:55:50,1556.11,91.76,87.02,67.81,24.72,1.75,1,564,21.94
2026-06-05 15:56:50,994.65,72.55,27.58,63.74,18.18,6.88,6,336,15.97
2026-06-05 15:57:50,1258.39,71.15,89.43,34.1,19.75,1.42,2,447,18.26
2026-06-05 15:58:50,1689.09,40.94,58.03,46.02,16.25,4.11,4,484,13.32
2026-06-05 15:59:50,1470.76,73.6,20.38,46.09,20.79,7.2,7,461,18.34
2026-06-05 16:00:50,1695.11,68.97,40.31,55.51,21.22,5.77,5,516,19.11
2026-06-05 16:01:50,1080.39,86.6,47.62,54.05,21.11,4.87,4,373,19.12
2026-06-05 16:02:50,1509.55,43.57,76.65,44.97,16.82,3.36,4,433,14.55
2026-06-05 16:03:50,1096.74,72.39,20.03,31.74,18.83,7.8,6,346,16.67
2026-06-05 16:04:50,1628.08,50.08,20.59,57.16,17.08,7.68,7,446,14.68
2026-06-05 16:05:50,1474.03,89.08,63.17,66.2,23.73,3.74,4,521,20.89
2026-06-05 16:06:50,1505.5,54.93,29.82,47.44,18.26,6.58,6,441,14.35
2026-06-05 16:07:50,937.51,54.52,96.27,53.09,15.21,0.97,2,331,12.64
2026-06-05 16:08:50,1125.19,85.42,20.25,30.03,21.11,7.18,7,359,19.91
2026-06-05 16:09:50,1642.18,90.71,85.58,52.26,24.99,1.87,2,573,22.71
2026-06-05 16:10:50,1599.83,52.93,71.55,52.41,18.23,3.16,3,474,15.35
2026-06-05 16:11:50,1688.54,51.26,26.23,42.47,17.74,7.31,6,479,14.91
2026-06-05 16:12:50,1449.6,63.52,68.28,67.16,19.91,3.22,2,490,17.43
2026-06-05 16:13:50,1297.43,96.28,86.58,32.98,24.9,1.87,2,466,23.23
2026-06-05 16:14:50,1744.56,46.3,75.0,41.54,16.62,2.79,3,518,14.04
